#t	x0	y0	x1	y1
0.483326	999.946899	399.977051	1154.243286	466.466125
0.484685	999.946960	399.976990	1153.973999	466.614380
0.486044	999.947021	399.976929	1153.704102	466.762085
0.487401	999.947083	399.976868	1153.433472	466.909241
0.488756	999.947144	399.976807	1153.162231	467.055847
0.490111	999.947205	399.976746	1152.890381	467.201904
0.491463	999.947266	399.976685	1152.617920	467.347412
0.492815	999.947327	399.976624	1152.344849	467.492371
0.494164	999.947388	399.976563	1152.071167	467.636780
0.495513	999.947449	399.976501	1151.796875	467.780640
0.496860	999.947571	399.976440	1151.521973	467.923950
0.498206	999.947693	399.976379	1151.246460	468.066711
0.499550	999.947815	399.976318	1150.970337	468.208923
0.500893	999.947937	399.976257	1150.693604	468.350555
0.502234	999.948059	399.976196	1150.416260	468.491638
0.503574	999.948181	399.976135	1150.138306	468.632172
0.504913	999.948303	399.976074	1149.859863	468.772156
0.506250	999.948425	399.976013	1149.580811	468.911560
0.507585	999.948547	399.975952	1149.301147	469.050415
0.508920	999.948669	399.975891	1149.020874	469.188690
0.510252	999.948792	399.975830	1148.739990	469.326416
0.511584	999.948914	399.975800	1148.458496	469.463562
0.512914	999.949036	399.975769	1148.176392	469.600159
0.514242	999.949158	399.975739	1147.893677	469.736176
0.515570	999.949280	399.975708	1147.610474	469.871643
0.516895	999.949402	399.975677	1147.326660	470.006531
0.518220	999.949524	399.975647	1147.042236	470.140869
0.519542	999.949646	399.975616	1146.757202	470.274628
0.520864	999.949768	399.975586	1146.471558	470.407806
0.522184	999.949890	399.975555	1146.185425	470.540405
0.523502	999.950012	399.975525	1145.898682	470.672455
0.524820	999.950134	399.975494	1145.611328	470.803925
0.526135	999.950256	399.975464	1145.323364	470.934814
0.527450	999.950378	399.975433	1145.034912	471.065125
0.528762	999.950500	399.975403	1144.745850	471.194855
0.530074	999.950623	399.975372	1144.456177	471.324005
0.531384	999.950745	399.975342	1144.166016	471.452576
0.532692	999.950867	399.975311	1143.875244	471.580566
0.533999	999.950989	399.975281	1143.583862	471.707977
0.535305	999.951111	399.975250	1143.291992	471.834808
0.536609	999.951233	399.975220	1142.999512	471.961060
0.537912	999.951355	399.975189	1142.706421	472.086731
0.539213	999.951477	399.975159	1142.412842	472.211792
0.540513	999.951599	399.975128	1142.118652	472.336273
0.541812	999.951721	399.975098	1141.823975	472.460175
0.543109	999.951843	399.975067	1141.528687	472.583496
0.544405	999.951965	399.975037	1141.232788	472.706207
0.545699	999.952087	399.975006	1140.936401	472.828339
0.546991	999.952209	399.974976	1140.639404	472.949860
0.548283	999.952332	399.974945	1140.341919	473.070801
0.549573	999.952454	399.974915	1140.043823	473.191162
0.550861	999.952576	399.974884	1139.745239	473.310913
0.552148	999.952698	399.974854	1139.446045	473.430054
0.553434	999.952820	399.974823	1139.146362	473.548615
0.554718	999.952942	399.974792	1138.846069	473.666565
0.556000	999.953064	399.974762	1138.545288	473.783936
0.557282	999.953186	399.974731	1138.243896	473.900696
0.558561	999.953308	399.974701	1137.942017	474.016846
0.559840	999.953430	399.974670	1137.639526	474.132385
0.561117	999.953552	399.974640	1137.336548	474.247345
0.562392	999.953674	399.974609	1137.033081	474.361694
0.563666	999.953796	399.974579	1136.729004	474.475433
0.564939	999.953918	399.974548	1136.424438	474.588562
0.566210	999.954041	399.974518	1136.119385	474.701080
0.567479	999.954163	399.974487	1135.813721	474.812988
0.568748	999.954285	399.974457	1135.507568	474.924286
0.570014	999.954407	399.974426	1135.200806	475.034973
0.571280	999.954529	399.974396	1134.893555	475.145050
0.572544	999.954651	399.974365	1134.585815	475.254517
0.573806	999.954773	399.974335	1134.277588	475.363373
0.575067	999.954895	399.974304	1133.968750	475.471588
0.576327	999.955017	399.974274	1133.659424	475.579193
0.577585	999.955139	399.974243	1133.349609	475.686188
0.578842	999.955261	399.974213	1133.039185	475.792572
0.580097	999.955383	399.974182	1132.728271	475.898315
0.581351	999.955505	399.974152	1132.416870	476.003448
0.582603	999.955627	399.974121	1132.104980	476.107941
0.583854	999.955750	399.974091	1131.792603	476.211823
0.585103	999.955872	399.974060	1131.479614	476.315094
0.586351	999.955994	399.974030	1131.166138	476.417725
0.587598	999.956116	399.973999	1130.852173	476.519714
0.588843	999.956238	399.973969	1130.537720	476.621094
0.590087	999.956360	399.973938	1130.222778	476.721832
0.591329	999.956482	399.973907	1129.907349	476.821960
0.592570	999.956604	399.973877	1129.591309	476.921448
0.593809	999.956726	399.973846	1129.274780	477.020294
0.595047	999.956848	399.973816	1128.957764	477.118500
0.596283	999.956970	399.973785	1128.640259	477.216064
0.597518	999.957092	399.973755	1128.322266	477.313019
0.598752	999.957214	399.973724	1128.003784	477.409332
0.599984	999.957336	399.973694	1127.684814	477.505005
0.601215	999.957458	399.973663	1127.365356	477.600037
0.602444	999.957581	399.973633	1127.045410	477.694427
0.603671	999.957703	399.973602	1126.724976	477.788177
0.604898	999.957825	399.973572	1126.404053	477.881287
0.606123	999.957947	399.973541	1126.082642	477.973724
0.607346	999.958069	399.973511	1125.760742	478.065521
0.608568	999.958191	399.973480	1125.438354	478.156677
0.609788	999.958313	399.973450	1125.115479	478.247192
0.611007	999.958435	399.973419	1124.792114	478.337067
0.612225	999.958557	399.973389	1124.468262	478.426270
0.613441	999.958679	399.973358	1124.143921	478.514832
0.614656	999.958801	399.973328	1123.819092	478.602722
0.615869	999.958923	399.973297	1123.493774	478.689972
0.617081	999.959045	399.973267	1123.167969	478.776550
0.618291	999.959167	399.973236	1122.841675	478.862488
0.619500	999.959290	399.973206	1122.514893	478.947754
0.620708	999.959412	399.973175	1122.187744	479.032379
0.621913	999.959534	399.973145	1121.860107	479.116333
0.623118	999.959656	399.973114	1121.531982	479.199615
0.624321	999.959778	399.973083	1121.203369	479.282257
0.625523	999.959900	399.973053	1120.874268	479.364227
0.626723	999.960022	399.973022	1120.544678	479.445526
0.627922	999.960144	399.972992	1120.214722	479.526154
0.629119	999.960266	399.972961	1119.884277	479.606110
0.630315	999.960388	399.972931	1119.553345	479.685394
0.631509	999.960510	399.972900	1119.221924	479.764008
0.632702	999.960632	399.972870	1118.890137	479.841949
0.633893	999.960754	399.972839	1118.557861	479.919220
0.635083	999.960876	399.972809	1118.225098	479.995819
0.636272	999.960999	399.972778	1117.891846	480.071747
0.637459	999.961121	399.972748	1117.558228	480.147003
0.638644	999.961243	399.972717	1117.224121	480.221588
0.639829	999.961365	399.972687	1116.889526	480.295502
0.641011	999.961487	399.972656	1116.554565	480.368713
0.642193	999.961609	399.972626	1116.219116	480.441254
0.643372	999.961731	399.972595	1115.883179	480.513092
0.644551	999.961853	399.972565	1115.546875	480.584259
0.645728	999.961975	399.972534	1115.210083	480.654755
0.646903	999.962097	399.972504	1114.872803	480.724548
0.648077	999.962219	399.972473	1114.535156	480.793640
0.649250	999.962341	399.972443	1114.197021	480.862061
0.650421	999.962463	399.972412	1113.858521	480.929779
0.651590	999.962585	399.972382	1113.519531	480.996826
0.652758	999.962708	399.972351	1113.180176	481.063171
0.653925	999.962830	399.972321	1112.840332	481.128815
0.655090	999.962952	399.972290	1112.500122	481.193756
0.656254	999.963074	399.972260	1112.159424	481.257996
0.657417	999.963196	399.972229	1111.818359	481.321533
0.658577	999.963318	399.972198	1111.476807	481.384369
0.659737	999.963440	399.972168	1111.134888	481.446503
0.660895	999.963562	399.972137	1110.792480	481.507935
0.662051	999.963684	399.972107	1110.449707	481.568665
0.663206	999.963806	399.972076	1110.106445	481.628693
0.664360	999.963928	399.972046	1109.762817	481.688019
0.665512	999.964050	399.972015	1109.418701	481.746643
0.666663	999.964172	399.971985	1109.074219	481.804535
0.667812	999.964294	399.971954	1108.729248	481.861725
0.668960	999.964417	399.971924	1108.383911	481.918213
0.670106	999.964539	399.971893	1108.038208	481.973969
0.671251	999.964661	399.971863	1107.692017	482.029022
0.672394	999.964783	399.971832	1107.345459	482.083344
0.673536	999.964905	399.971802	1106.998535	482.136963
0.674677	999.965027	399.971771	1106.651123	482.189850
0.675816	999.965149	399.971741	1106.303345	482.242004
0.676953	999.965271	399.971710	1105.955200	482.293457
0.678089	999.965393	399.971680	1105.606567	482.344177
0.679224	999.965515	399.971649	1105.257568	482.394165
0.680357	999.965637	399.971619	1104.908203	482.443420
0.681489	999.965759	399.971588	1104.558472	482.491943
0.682619	999.965881	399.971558	1104.208252	482.539734
0.683748	999.966003	399.971527	1103.857666	482.586792
0.684875	999.966125	399.971497	1103.506714	482.633118
0.686001	999.966248	399.971497	1103.155396	482.678711
0.687125	999.966370	399.971497	1102.803711	482.723572
0.688248	999.966492	399.971497	1102.451538	482.767700
0.689370	999.966614	399.971497	1102.098999	482.811096
0.690490	999.966736	399.971497	1101.746094	482.853729
0.691608	999.966858	399.971497	1101.392822	482.895630
0.692725	999.966980	399.971497	1101.039185	482.936798
0.693841	999.967102	399.971497	1100.685181	482.977203
0.694955	999.967224	399.971497	1100.330811	483.016876
0.696068	999.967346	399.971497	1099.975952	483.055786
0.697179	999.967468	399.971497	1099.620728	483.093964
0.698289	999.967590	399.971497	1099.265137	483.131378
0.699397	999.967712	399.971497	1098.909180	483.168030
0.700504	999.967834	399.971497	1098.552856	483.203918
0.701610	999.967957	399.971497	1098.196167	483.239075
0.702713	999.968079	399.971497	1097.839111	483.273468
0.703816	999.968201	399.971497	1097.481689	483.307098
0.704917	999.968323	399.971497	1097.123901	483.339966
0.706017	999.968445	399.971497	1096.765747	483.372070
0.707115	999.968567	399.971497	1096.407227	483.403412
0.708211	999.968689	399.971497	1096.048340	483.433990
0.709306	999.968811	399.971497	1095.689087	483.463806
0.710400	999.968933	399.971497	1095.329468	483.492828
0.711492	999.969055	399.971497	1094.969482	483.521088
0.712583	999.969177	399.971497	1094.609253	483.548584
0.713673	999.969299	399.971497	1094.248657	483.575287
0.714760	999.969421	399.971497	1093.887695	483.601227
0.715847	999.969543	399.971497	1093.526367	483.626373
